platform,slug,url,url_kind,status_page,headquarters
Ionstream,ionstream,https://ionstream.ai/,own,,US
Krea,krea,https://www.krea.ai/,own,,US
Liquid,liquid,https://www.liquid.ai/,own,,
Makora,makora,https://makora.statuspage.io/,own,https://makora.statuspage.io,
Mancer 2,mancer,https://mancer.tech/,own,,
Mara,mara,https://www.mara.com/,own,,US
Meta,meta,https://www.facebook.com/,own,,US
Minimax,minimax,https://www.minimax.io/,own,,SG
Mistral,mistral,https://mistral.ai/,own,https://status.mistral.ai/,FR
Modal,modal,https://modal.com/,own,https://status.modal.com/,US
ModelRun,modelrun,https://www.modular.com/,own,,US
Modular,modular,https://www.runmodelrun.com/,own,,US
Moonshot AI,moonshotai,https://moonshot.ai/,own,,SG
Morph,morph,https://morphllm.com/,own,,US
NCompass,ncompass,https://ncompass.tech/,own,,
Nebius,nebius,https://nebius.com/,own,,NL
Nex AGI,nex-agi,https://nex-agi.cn/,own,,CN
NextBit,nextbit,https://www.nextbit256.com/,own,,ES
Novita,novita,https://novita.ai/,own,https://status.novita.ai/,US
Nvidia,nvidia,https://www.nvidia.com/,own,,US
Ollama,ollama,https://openrouter.ai/provider/ollama,openrouter,,
OpenAI,openai,https://openai.com/,own,https://status.openai.com/,US
OpenInference,open-inference,https://www.openinference.ai/,own,,US
Parasail,parasail,https://www.parasail.io/,own,,US
Perceptron,perceptron,https://www.perceptron.inc/,own,,US
Perplexity,perplexity,https://perplexity.ai/,own,https://status.perplexity.ai/,US
Phala,phala,https://redpill.ai/,own,https://status.phala.network/,US
Poolside,poolside,https://poolside.ai/,own,,
PrimeIntellect,prime-intellect,https://openrouter.ai/provider/prime-intellect,openrouter,,
Quiver,quiver,https://openrouter.ai/provider/quiver,openrouter,,
Recraft,recraft,https://openrouter.ai/provider/recraft,openrouter,,
Reka,reka,https://reka.ai/,own,,
Relace,relace,https://www.relace.ai/,own,,
Runway,runway,https://runwayml.com/,own,https://status.runwayml.com,US
Sail Research,sail-research,https://www.sailresearch.com/,own,https://status.sailresearch.com/,US
Sakana AI,sakana,https://sakana.ai/,own,,
SambaNova,sambanova,https://sambanova.ai/,own,https://status.sambanova.ai/,US
Seed,seed,https://byteplus.com/,own,,SG
SiliconFlow,siliconflow,https://siliconflow.com/,own,,SG
Sourceful,sourceful,https://www.sourceful.com/,own,,
Stealth,stealth,https://openrouter.ai/,own,,
StepFun,stepfun,https://stepfun.ai/,own,,
StreamLake,streamlake,https://www.streamlake.ai/,own,https://status.streamlake.ai/,CN
Switchpoint,switchpoint,https://openrouter.ai/provider/switchpoint,openrouter,,US
Tencent,tencent,https://www.tencentcloud.com/,own,https://status.tencentcloud.com,CN
Tenstorrent,tenstorrent,https://tenstorrent.com/,own,,US
Thinking Machines,thinkingmachines,https://thinkingmachines.ai/,own,,
Together,together,https://www.together.ai/,own,https://status.together.ai/,US
Upstage,upstage,https://www.upstage.ai/,own,,
Venice,venice,https://venice.ai/,own,,US
VoyageAI by MongoDB,voyageai,https://www.voyageai.com/,own,,
Wafer,wafer,https://www.wafer.ai/,own,,US
xAI,xai,https://x.ai/,own,https://status.x.ai/,US
Xiaomi,xiaomi,https://platform.xiaomimimo.com/,own,,CN
